date,open,high,low,close,volume,zigzag,type
19991109 00:00,1385000,1386900,1362800,1367200,4361300,,
19991110 00:00,1362500,1383900,1360800,1377500,6173600,,
19991111 00:00,1381900,1385600,1374700,1383800,4724400,,
19991112 00:00,1392500,1399700,1371300,1397500,15589200,,
19991115 00:00,1398400,1402500,1394100,1398100,2101000,,
19991116 00:00,1405600,1426300,1400900,1424400,7442900,,
19991117 00:00,1422500,1429400,1413100,1415600,9129600,,
19991118 00:00,1424400,1430000,1416300,1428100,11360400,,
19991119 00:00,1424100,1429700,1420000,1425000,4641100,,
19991122 00:00,1424400,1430000,1415000,1424700,4149600,,
19991123 00:00,1428400,1428400,1400600,1408800,5948300,,
19991124 00:00,1407500,1424400,1400000,1420600,4357200,,
19991126 00:00,1424700,1428800,1412500,1414400,1694900,,
19991129 00:00,1408800,1419200,1404400,1410000,7653200,,
19991130 00:00,1407500,1423100,1390000,1392500,8403900,,
19991201 00:00,1393100,1405000,1390000,1401300,6790400,,
19991202 00:00,1406300,1413600,1403800,1411300,6706200,,
19991203 00:00,1430300,1454100,1430300,1436900,9860300,,
19991206 00:00,1435300,1437200,1422500,1427500,2950200,,
19991207 00:00,1432800,1433100,1413800,1419400,10334900,,
19991208 00:00,1413400,1420600,1406300,1406300,4357000,,
19991209 00:00,1418100,1422200,1393800,1410000,6029100,,
19991210 00:00,1422800,1428100,1408800,1420000,4698200,,
19991213 00:00,1414400,1427200,1412800,1421300,3919800,,
19991214 00:00,1416300,1424800,1406300,1408100,5625700,,
19991215 00:00,1403800,1422000,1400000,1418000,6539200,,
19991216 00:00,1421900,1426600,1411600,1423800,5503200,,
19991217 00:00,1430000,1433100,1420600,1423800,4355000,,
19991220 00:00,1425600,1431900,1410900,1416900,4888100,,
19991221 00:00,1415900,1440600,1413400,1433400,7829500,,
19991222 00:00,1436300,1441900,1429700,1437500,5250700,,
19991223 00:00,1450200,1464400,1449700,1460900,5566200,,
19991227 00:00,1465000,1467800,1450600,1458100,2602500,,
